"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  To preview a colour before making a purchase decision
  As a Dulux customer
  I want to open the Visualizer from a selected shade page","6275","Desktop customer opens the Visualizer for a shade","","2026-06-24","passed","2026-06-24","","Open the Dulux Visualizer experience","Desktop customer opens the Visualizer for a shade",""
"  To try a paint colour at home before buying a full tin
  As a Dulux customer
  I want to add a tester for a chosen shade to my basket","19919","Desktop customer adds a tester from the colour finder","","2026-06-24","passed","2026-06-24","","Purchase a colour tester","Desktop customer adds a tester from the colour finder",""
